index,text,text_snippet,ground_truth_signal,finbert_signal,our_signal,finbert_sentiment,finbert_confidence,our_confidence,our_prediction,our_volatility,our_score,our_explanation,case_type
4,"On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integrated LNG business with tens of TCF of gas have been discovered.","On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integrated LNG business with tens of TCF of gas have been...",neutral,growth,neutral,positive,63.4055,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integra...",ours_correct_finbert_wrong
14,"Our non-GAAP operating margin rate was 32.6%, up 1.4 points.","Our non-GAAP operating margin rate was 32.6%, up 1.4 points.",neutral,growth,neutral,positive,95.6448,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Our non-GAAP operating margin rate was 32. 6%, up 1. 4 points.",ours_correct_finbert_wrong
19,"And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue production, if you like, but we're very encouraged by what we see, so far.","And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue production, if you like, but we're very encouraged by wha...",neutral,growth,neutral,positive,90.8043,100.0,NEUTRAL,LOW,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1}, first_segment=(ANALYST) And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue product...",ours_correct_finbert_wrong
30,"Internationally, we also made major advances.","Internationally, we also made major advances.",neutral,growth,neutral,positive,92.0095,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) Internationally, we also made major advances.",ours_correct_finbert_wrong
64,It throws off a small yield.,It throws off a small yield.,neutral,risk,neutral,negative,79.5335,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It throws off a small yield.",ours_correct_finbert_wrong
67,"But in reality for the mobility solution and such, our things are bringing real customer value to the customer, the customer's customers and the value potential is so big.","But in reality for the mobility solution and such, our things are bringing real customer value to the customer, the customer's customers and the value potential is so big.",neutral,growth,neutral,positive,50.5254,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) But in reality for the mobility solution and such, our things are bringing real customer value to the customer, the customer's ...",ours_correct_finbert_wrong
68,It will be a double-digit grower.,It will be a double-digit grower.,neutral,growth,neutral,positive,61.3372,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It will be a double-digit grower.",ours_correct_finbert_wrong
101,"It should improve versus 2020 levels to around 380 basis points, but now clearly with a positive bias.","It should improve versus 2020 levels to around 380 basis points, but now clearly with a positive bias.",neutral,growth,neutral,positive,95.328,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) It should improve versus 2020 levels to around 380 basis points, but now clearly with a positive bias.",ours_correct_finbert_wrong
113,Capital expenditures were approximately $69 million for the quarter compared to approximately $51 million in the fourth quarter last year.,Capital expenditures were approximately $69 million for the quarter compared to approximately $51 million in the fourth quarter last year.,neutral,risk,neutral,negative,92.4777,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Capital expenditures were approximately $69 million for the quarter compared to approximately $51 million in the fourth quarter...",ours_correct_finbert_wrong
115,"What I think one of the things that we were very pleased to see is that it was the surge was both in the year for the year as well as for all future periods, which was always very encouraging.MMichael BellisarioRobert W. BairdThat's helpful.","What I think one of the things that we were very pleased to see is that it was the surge was both in the year for the year as well as for all future periods, which was always ve...",neutral,growth,neutral,positive,70.9699,50.0,NEUTRAL,MEDIUM,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'GENERAL_UPDATE': 1}, first_segment=(ANALYST) What I think one of the things that we were very pleased to see is that it was the surge was both in the year for the year as w...",ours_correct_finbert_wrong
125,"Operating revenues, net of funding and liquidity charges, were close to 0.","Operating revenues, net of funding and liquidity charges, were close to 0.",neutral,growth,neutral,positive,58.8926,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(CEO) Operating revenues, net of funding and liquidity charges, were close to 0.",ours_correct_finbert_wrong
159,"And what really stands out to me, Marc, is the strength of our core organic CRM business.","And what really stands out to me, Marc, is the strength of our core organic CRM business.",neutral,growth,neutral,positive,58.3737,100.0,NEUTRAL,LOW,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1}, first_segment=(ANALYST) And what really stands out to me, Marc, is the strength of our core organic CRM business.",ours_correct_finbert_wrong
