index,text,text_snippet,ground_truth_signal,finbert_signal,our_signal,finbert_sentiment,finbert_confidence,our_confidence,our_prediction,our_volatility,our_score,our_explanation,case_type
1,The increase in the CET1 ratio was driven by a net EUR 3 billion decline in risk-weighted assets.,The increase in the CET1 ratio was driven by a net EUR 3 billion decline in risk-weighted assets.,growth,growth,neutral,positive,82.218,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) The increase in the CET1 ratio was driven by a net EUR 3 billion decline in risk-weighted assets.",finbert_correct_ours_wrong
4,"On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integrated LNG business with tens of TCF of gas have been discovered.","On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integrated LNG business with tens of TCF of gas have been...",neutral,growth,neutral,positive,63.4055,100.0,NEUTRAL,LOW,45,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integra...",ours_correct_finbert_wrong
8,"Today, we have both, we have increased our AlCO book, for example, with four to five years, Mexican peso paper trading at 9.5, 9.6, and so on.","Today, we have both, we have increased our AlCO book, for example, with four to five years, Mexican peso paper trading at 9.5, 9.6, and so on.",growth,growth,neutral,positive,92.0592,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(EXECUTIVE) Today, we have both, we have increased our AlCO book, for example, with four to five years, Mexican peso paper trading at 9.",finbert_correct_ours_wrong
10,"For the full year 2019, we expect adjusted EBITDA will total $3.572 billion to $3.587 billion, a 3% increase over the prior year.","For the full year 2019, we expect adjusted EBITDA will total $3.572 billion to $3.587 billion, a 3% increase over the prior year.",growth,growth,neutral,positive,95.3058,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CFO) For the full year 2019, we expect adjusted EBITDA will total $3. 572 billion to $3. 587 billion, a 3% increase over the prior y...",finbert_correct_ours_wrong
14,"Our non-GAAP operating margin rate was 32.6%, up 1.4 points.","Our non-GAAP operating margin rate was 32.6%, up 1.4 points.",neutral,growth,neutral,positive,95.6448,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Our non-GAAP operating margin rate was 32. 6%, up 1. 4 points.",ours_correct_finbert_wrong
15,"Relative to 2019, our gross margin is benefiting from a higher e-comm penetration and leverage on occupancy and depreciation due to pulling back somewhat on new store openings in 2020, as well as a level of rent reductions.Our Q1 guidance reflects pressure from air freight costs due to port congestion and capacity constraints.","Relative to 2019, our gross margin is benefiting from a higher e-comm penetration and leverage on occupancy and depreciation due to pulling back somewhat on new store openings i...",risk,risk,neutral,negative,80.463,100.0,NEUTRAL,LOW,49,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'COST_PRESSURE': 1}, first_segment=(ANALYST) Relative to 2019, our gross margin is benefiting from a higher e-comm penetration and leverage on occupancy and depreciation du...",finbert_correct_ours_wrong
16,"Number one, it's obviously the normal cost reduction, which are in particular supported by our key deliverables which are overseen by the Chief Transformation Officer.","Number one, it's obviously the normal cost reduction, which are in particular supported by our key deliverables which are overseen by the Chief Transformation Officer.",risk,growth,neutral,positive,54.1318,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) Number one, it's obviously the normal cost reduction, which are in particular supported by our key deliverables which are overs...",disagreement_other
19,"And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue production, if you like, but we're very encouraged by what we see, so far.","And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue production, if you like, but we're very encouraged by wha...",neutral,growth,neutral,positive,90.8043,100.0,NEUTRAL,LOW,46,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1}, first_segment=(ANALYST) And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue product...",ours_correct_finbert_wrong
21,"Obviously, 2020 was quite a strong growth year for us.","Obviously, 2020 was quite a strong growth year for us.",growth,growth,neutral,positive,92.4712,100.0,UP,LOW,44,"Signal=neutral, dominant_intent=EXPANSION, counts={'EXPANSION': 1}, first_segment=(CEO) Obviously, 2020 was quite a strong growth year for us.",finbert_correct_ours_wrong
22,"We reduced our adjusted cost by EUR 1.1 billion to EUR 22.8 billion, EUR 200 million below our target.","We reduced our adjusted cost by EUR 1.1 billion to EUR 22.8 billion, EUR 200 million below our target.",risk,risk,neutral,negative,57.4498,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(CFO) We reduced our adjusted cost by EUR 1. 1 billion to EUR 22. 8 billion, EUR 200 million below our target.",finbert_correct_ours_wrong
24,"This quarter, we showed continued cost discipline with reductions in every cost category, except for planned investments in technology.","This quarter, we showed continued cost discipline with reductions in every cost category, except for planned investments in technology.",risk,growth,neutral,positive,95.002,100.0,NEUTRAL,LOW,48,"Signal=neutral, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(ANALYST) This quarter, we showed continued cost discipline with reductions in every cost category, except for planned investments in tec...",disagreement_other
